ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
820 000 023;;;"ООО КБ ""НЕВАСТРОЙИНВЕСТ""";НЕВАСТРОЙИНВЕСТ;ООО;ООО (Паевое);1 926;;;17.06.1992;ОТЗ;192102, г. Санкт-Петербург, ул. Фучика, д.4, литер К, пом.3,4  18Н;1020500001170
760 000 002;;;"ПАО ""Невский банк""";НЕВСКИЙ НАРОДНЫЙ БАНК;ПАО;ПАО;1 068;;;05.12.1990;ОТЗ;195271, г. Санкт-Петербург, Кондратьевский проспект, д. 64, корп. 2, лит. А, пом. 9 Н;1097800006589
650 000 019;;;"БАНК ""НЕЙВА"" ООО";НЕЙВА;ООО;ООО (Паевое);1 293;;;26.12.1990;ОТЗ;620142, Свердловская область, г. Екатеринбург, ул. Чапаева, д. 3а;1026600006510
450 000 978;;;"КБ ""НЕФТЯНОЙ АЛЬЯНС"" (ПАО)";НЕФТЯНОЙ АЛЬЯНС;ПАО;ПАО;2 859;;;23.05.1994;ОТЗ;121170,  г. Москва, ул. Кульнева, д. 3, стр. 1;1027739175056
460 000 004;;;"АКБ ""НЗБанк"", ОАО";НЗБАНК;ОАО;ОАО (АО);2 944;;;29.06.1994;ОТЗ;141700, Московская обл., г. Долгопрудный, ул. Первомайская, д. 21;1025000003830
730 000 007;;;"АО КБ ""НИБ""";НИБ;АО;НПАО;2 876;;;09.06.1994;;443010, г. Самара, Самарский район, ул. Фрунзе/ул. Некрасовская, д. 102/д.36;1027300000012
630 000 010;;;"АО ""НВКбанк""";НИЖНЕВОЛЖСКИЙ КОММЕРЧЕСКИЙ БАНК;АО;НПАО;931;;;20.05.1992;ОТЗ;410012, г. Саратов, ул.Рахова В.Г., д. 129;1026400001858
530 000 005;;;"ПАО ""НИКО-БАНК""";НИКО-БАНК;ПАО;ПАО;702;;;02.11.1990;;460000, Оренбургская область, г. Оренбург, ул. Правды, дом 14;1025600001679
450 000 605;;;"АО ""НК Банк""";НК БАНК;АО;НПАО;2 755;;;18.03.1994;;125047,  г. Москва, Миусская площадь, д. 2;1027739028536
850 000 011;;;"ООО КБ ""НКБ""";НКБ;ООО;ООО (Паевое);2 942;;;29.06.1994;ОТЗ;105064, г. Москва,улица Земляной Вал, д. 34А, строение 1;1020800758274
790 000 004;;;"ПАО АКБ ""Новация""";НОВАЦИЯ;ПАО;ПАО;840;;;21.02.1992;ОТЗ;385011,Республика Адыгея, г.Майкоп, ул.Димитрова, д.4, корпус 1;1020100001899
450 000 490;;;"АО АКБ ""НОВИКОМБАНК""";НОВИКОМБАНК;АО;НПАО;2 546;;;25.10.1993;;119180,  г. Москва, ул. Полянка Большая, д. 50/1, стр. 1;1027739075891
490 000 002;;;"ПАО УКБ ""Новобанк""";НОВОБАНК;ПАО;ПАО;1 352;;;24.01.1991;;173003 Новгородская обл., г. Великий Новгород, наб. реки Гзень,  д.11;1025300002925
320 000 014;;;"ООО ""НОВОКИБ""";НОВОКИБ;ООО;ООО (Паевое);1 747;;;03.04.1992;;654080, Кемеровская область-Кузбасс, город Новокузнецк, улица Свердлова, дом 7, помещение 181;1024200001792
320 000 010;;;АКБ НМБ ОАО;НОВОКУЗНЕЦКИЙ МУНИЦИПАЛЬНЫЙ БАНК;ОАО;ОАО (АО);2 865;;;31.05.1994;ОТЗ;654000, Кемеровская область, г.Новокузнецк, ул.Кирова, 38;1024200001770
30 000 048;;;"ООО КБ ""Новопокровский""";НОВОПОКРОВСКИЙ;ООО;ООО (Паевое);467;;;11.10.1990;ОТЗ;350059, г. Краснодар, Карасунский внутригородской округ, ул. Волжская/ул.им. Глинки, дом №47/77;1022300001272
450 041 928;;;"КБ ""Новый век"" (ООО)";НОВЫЙ ВЕК;ООО;ООО (Паевое);3 417;;;20.06.2002;;115093, г. Москва, ул. Щипок, д. 4, стр. 1;1027700047715
450 000 962;;;"КБ ""НМБ"" ООО";НОВЫЙ МОСКОВСКИЙ БАНК;ООО;ООО (Паевое);2 932;;;27.06.1994;;119435,  г. Москва, Большой Саввинский пер., д. 2-4-6, стр. 10;1027700128796
640 000 003;НКО;Расчетная НКО;"АО РНКО ""НОДА""";НОДА;АО;НПАО;503;-К;-К;17.10.1990;;107014, Российская Федерация, город Москва, ул. Гастелло, д. 2;1026500000141
180 000 007;;;АО НОКССБАНК;НОКССБАНК;АО;НПАО;3 202;;;25.01.1995;;400005, г. Волгоград, ул. 7-й Гвардейской, дом 2;1023400000018
840 000 005;;;"АКБ ""НООСФЕРА"" (АО)";НООСФЕРА;АО;НПАО;2 650;;;17.01.1994;;649000, Республика Алтай, г.Горно-Алтайск, пр.Коммунистический, 26;1020400000059
330 000 002;;;"ПАО ""Норвик Банк""";НОРВИК БАНК;ПАО;ПАО;902;;;22.11.1990;;115054, г. Москва, ул. Зацепский Вал, д. 5;1024300004739
710 000 010;;;"""НОТА-Банк"" (ПАО)";НОТА-БАНК;ПАО;ПАО;2 913;;;22.06.1994;ОТЗ;127018, г. Москва, ул. Образцова, д.31, стр. 3;1027739019000
450 016 148;НКО;Расчетная НКО;НКО АО НРД;НРД;АО;НПАО;3 294;;;27.06.1996;;105066, г. Москва, ул. Спартаковская, д. 12;1027739132563
450 001 012;;;"АО ""НС Банк""";НС БАНК;АО;НПАО;3 124;;;11.10.1994;;109004, г. Москва, ул. Добровольческая, д. 20, стр. 2;1027739198200
530 000 006;;;"АО ""НСТ-БАНК""";НСТ-БАНК;АО;НПАО;1 738;;;30.03.1992;ОТЗ;462359, Оренбургская обл., г. Новотроицк, ул. Советская, 49;1025600001019
450 000 130;;;"ООО КБ ""Нэклис-Банк""";НЭКЛИС-БАНК;ООО;ООО (Паевое);1 671;;;18.12.1991;ОТЗ;125009, г. Москва, ул. Большая Никитская, д. 17, стр. 2;1027700409791
450 000 087;;;"АКИБ ""ОБРАЗОВАНИЕ"" (АО)";ОБРАЗОВАНИЕ;АО;НПАО;1 521;;;10.07.1991;ОТЗ;119296,  г. Москва, Ленинский проспект, д. 63/2, корпус 1;1027739265355
